Entry	EC number	Protein families	Enzyme class
Q13554	2.7.11.17	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily	Transferases
Q13555	2.7.11.17	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily	Transferases
Q13557	2.7.11.17	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily	Transferases
Q13572	2.7.1.134; 2.7.1.159	ITPK1 family	Transferases
Q13574	2.7.1.107; 2.7.1.93	Eukaryotic diacylglycerol kinase family	Transferases
Q13627	2.7.11.23; 2.7.12.1	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MNB/DYRK subfamily	Transferases
Q13705	2.7.11.30	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	Transferases
Q13873	2.7.11.30	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	Transferases
Q13882	2.7.10.2	Protein kinase superfamily, Tyr protein kinase family, BRK/PTK6/SIK subfamily	Transferases
Q13976	2.7.11.12	Protein kinase superfamily, AGC Ser/Thr protein kinase family, cGMP subfamily	Transferases
Q14004	2.7.11.22; 2.7.11.23	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily	Transferases
Q14012	2.7.11.17	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily	Transferases
Q14032	2.3.1.65; 3.1.2.2; 3.1.2.27	C/M/P thioester hydrolase family	Transferases
Q14139	2.3.2.27	Ubiquitin conjugation factor E4 family	Transferases
Q14164	2.7.11.10	Protein kinase superfamily, Ser/Thr protein kinase family, I-kappa-B kinase subfamily	Transferases
Q14258	2.3.2.27; 6.3.2.n3		Transferases
Q14289	2.7.10.2	Protein kinase superfamily, Tyr protein kinase family, FAK subfamily	Transferases
Q14296	2.7.11.1; 2.7.11.8	FAST protein kinase family	Transferases
Q14353	2.1.1.2	Class I-like SAM-binding methyltransferase superfamily, RMT2 methyltransferase family	Transferases
Q14410	2.7.1.30	FGGY kinase family	Transferases
Q14435	2.4.1.41	Glycosyltransferase 2 family, GalNAc-T subfamily	Transferases
Q14527	2.3.2.27; 3.6.4.-	SNF2/RAD54 helicase family, RAD16 subfamily	Transferases
Q14669	2.3.2.26	UPL family, K-HECT subfamily	Transferases
Q14680	2.7.10.2; 2.7.11.1	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily	Transferases
Q14749	2.1.1.20	Class I-like SAM-binding methyltransferase superfamily, Glycine N-methyltransferase family	Transferases
Q147X3	2.3.1.256	Acetyltransferase family, MAK3 subfamily	Transferases
Q149N8	2.3.2.27; 3.6.4.-	SNF2/RAD54 helicase family	Transferases
Q15034	2.3.2.26		Transferases
Q15046	2.7.7.-; 6.1.1.6	Class-II aminoacyl-tRNA synthetase family	Transferases
Q15047	2.1.1.366	Class V-like SAM-binding methyltransferase superfamily, Histone-lysine methyltransferase family, Suvar3-9 subfamily	Transferases
Q15118	2.7.11.2	PDK/BCKDK protein kinase family	Transferases
Q15119	2.7.11.2	PDK/BCKDK protein kinase family	Transferases
Q15120	2.7.11.2	PDK/BCKDK protein kinase family	Transferases
Q15126	2.7.4.2		Transferases
Q15131	2.7.11.22	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily	Transferases
Q15139	2.7.11.13	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, PKD subfamily	Transferases
Q15208	2.7.11.1	Protein kinase superfamily, AGC Ser/Thr protein kinase family	Transferases
Q15274	2.4.2.19	NadC/ModD family	Transferases
Q15303	2.7.10.1	Protein kinase superfamily, Tyr protein kinase family, EGF receptor subfamily	Transferases
Q15349	2.7.11.1	Protein kinase superfamily, AGC Ser/Thr protein kinase family, S6 kinase subfamily	Transferases
Q15375	2.7.10.1	Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily	Transferases
Q15386	2.3.2.26	UBE3C family	Transferases
Q15418	2.7.11.1	Protein kinase superfamily, AGC Ser/Thr protein kinase family, S6 kinase subfamily	Transferases
Q15569	2.7.12.1	Protein kinase superfamily, TKL Ser/Thr protein kinase family	Transferases
Q15746	2.7.11.18	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	Transferases
Q15751	2.3.2.26		Transferases
Q15759	2.7.11.24	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily	Transferases
Q15772	2.7.11.1	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	Transferases
Q15788	2.3.1.48	SRC/p160 nuclear receptor coactivator family	Transferases
Q15831	2.7.11.1	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, LKB1 subfamily	Transferases
Q15835	2.7.11.14	Protein kinase superfamily, AGC Ser/Thr protein kinase family, GPRK subfamily	Transferases
Q15910	2.1.1.356	Class V-like SAM-binding methyltransferase superfamily, Histone-lysine methyltransferase family, EZ subfamily	Transferases
Q16222	2.7.4.-; 2.7.7.23; 2.7.7.83	UDPGP type 1 family	Transferases
Q16288	2.7.10.1	Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily	Transferases
Q16394	2.4.1.225	Glycosyltransferase 47 family	Transferases
Q16512	2.7.11.13	Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily	Transferases
Q16513	2.7.11.13	Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily	Transferases
Q16539	2.7.11.24	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily	Transferases
Q16566	2.7.11.17	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily	Transferases
Q16584	2.7.11.25	Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily	Transferases
Q16613	2.3.1.87	Acetyltransferase family, AANAT subfamily	Transferases
Q16620	2.7.10.1	Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily	Transferases
Q16635	2.3.1.-	Taffazin family	Transferases
Q16644	2.7.11.1	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	Transferases
Q16654	2.7.11.2	PDK/BCKDK protein kinase family	Transferases
Q16659	2.7.11.24	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily	Transferases
Q16671	2.7.11.30	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	Transferases
Q16739	2.4.1.80	Glycosyltransferase 2 family	Transferases
Q16760	2.7.1.107	Eukaryotic diacylglycerol kinase family	Transferases
Q16762	2.8.1.1		Transferases
Q16763	2.3.2.23	Ubiquitin-conjugating enzyme family	Transferases
Q16769	2.3.2.5	Glutaminyl-peptide cyclotransferase family	Transferases
Q16772	2.5.1.18	GST superfamily, Alpha family	Transferases
Q16773	2.6.1.64; 2.6.1.7; 4.4.1.13	Class-I pyridoxal-phosphate-dependent aminotransferase family	Transferases
Q16774	2.7.4.8	Guanylate kinase family	Transferases
Q16816	2.7.11.1; 2.7.11.19; 2.7.11.26	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	Transferases
Q16831	2.4.2.3	PNP/UDP phosphorylase family	Transferases
Q16832	2.7.10.1	Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily	Transferases
Q16842	2.4.3.2; 2.4.3.4	Glycosyltransferase 29 family	Transferases
Q16851	2.7.7.9	UDPGP type 1 family	Transferases
Q16854	2.7.1.113; 2.7.1.76	DCK/DGK family	Transferases
Q16873	2.5.1.-; 4.4.1.20	MAPEG family	Transferases
Q16875	2.7.1.105; 3.1.3.46	Phosphoglycerate mutase family	Transferases
Q16877	2.7.1.105; 3.1.3.46	Phosphoglycerate mutase family	Transferases
Q16880	2.4.1.47	UDP-glycosyltransferase family	Transferases
Q1RMZ1	2.1.1.-	BMT2/SAMTOR family	Transferases
Q2M2I8	2.7.11.1	Protein kinase superfamily, Ser/Thr protein kinase family	Transferases
Q2NL67	2.4.2.-	ARTD/PARP family	Transferases
Q2Q1W2	2.3.2.27	TRIM/RBCC family	Transferases
Q2TAA5	2.4.1.131	Glycosyltransferase group 1 family, Glycosyltransferase 4 subfamily	Transferases
Q2TB90	2.7.1.1	Hexokinase family	Transferases
Q32MK0	2.7.11.18	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	Transferases
Q32NB8	2.7.8.5	CDP-alcohol phosphatidyltransferase class-II family	Transferases
Q32P41	2.1.1.228	Class I-like SAM-binding methyltransferase superfamily, TRM5/TYW2 family	Transferases
Q38SD2	2.7.11.1	Protein kinase superfamily, TKL Ser/Thr protein kinase family, ROCO subfamily	Transferases
Q3LXA3	2.7.1.28; 2.7.1.29; 4.6.1.15	Dihydroxyacetone kinase (DAK) family	Transferases
Q3SYC2	2.3.1.20; 2.3.1.22	Diacylglycerol acyltransferase family	Transferases
Q3T906	2.7.8.17	Stealth family	Transferases
Q3V5L5	2.4.1.-; 2.4.1.155	Glycosyltransferase 18 family	Transferases
Q460N3	2.4.2.-	ARTD/PARP family	Transferases
Q460N5	2.4.2.-	ARTD/PARP family	Transferases
Q495C1	2.3.2.-		Transferases
Q495W5	2.4.1.-	Glycosyltransferase 10 family	Transferases
Q49A17	2.4.1.41	Glycosyltransferase 2 family, GalNAc-T subfamily	Transferases
Q4AE62	2.4.1.110	Glycosyltransferase group 1 family, Glycosyltransferase 4 subfamily	Transferases
Q4FZB7	2.1.1.361; 2.1.1.362	Class V-like SAM-binding methyltransferase superfamily, Histone-lysine methyltransferase family, Suvar4-20 subfamily	Transferases
Q4G0N4	2.7.1.23	NAD kinase family	Transferases
Q504Y2	2.7.10.2	Protein kinase superfamily	Transferases
Q52WX2	2.7.11.1	Protein kinase superfamily, Ser/Thr protein kinase family	Transferases
Q53EU6	2.3.1.15; 2.3.1.51	1-acyl-sn-glycerol-3-phosphate acyltransferase family	Transferases
Q53GL7	2.4.2.-	ARTD/PARP family	Transferases
Q53H12	2.7.1.107; 2.7.1.138; 2.7.1.94	AGK family	Transferases
Q53H47	2.1.1.357; 3.1.-.-	Class V-like SAM-binding methyltransferase superfamily; Mariner transposase family	Transferases
Q53H54	2.5.1.114	Class I-like SAM-binding methyltransferase superfamily, TRM5/TYW2 family	Transferases
Q56NI9	2.3.1.-	Acetyltransferase family, ECO subfamily	Transferases
Q56UN5	2.7.11.1	Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily	Transferases
Q58HT5	2.3.1.75	Diacylglycerol acyltransferase family	Transferases
Q59H18	2.7.11.1	Protein kinase superfamily, TKL Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily	Transferases
Q5EBM0	2.7.4.14; 2.7.4.6	Thymidylate kinase family	Transferases
Q5FWF5	2.3.1.-	Acetyltransferase family, ECO subfamily	Transferases
Q5GLZ8	2.3.2.26		Transferases
Q5H8A4	2.-.-.-	PIGG/PIGN/PIGO family, PIGG subfamily	Transferases
Q5HYK3	2.1.1.201	Class I-like SAM-binding methyltransferase superfamily, MenG/UbiE family	Transferases
Q5I7T1	2.4.1.256	ALG10 glucosyltransferase family	Transferases
Q5JPI9	2.1.1.-	Class I-like SAM-binding methyltransferase superfamily, EFM4 family	Transferases
Q5JZY3	2.7.10.1	Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily	Transferases
Q5KSL6	2.7.1.107	Eukaryotic diacylglycerol kinase family	Transferases
Q5M7Z0	2.3.2.27		Transferases
Q5NDL2	2.4.1.255	Glycosyltransferase 61 family	Transferases
Q5S007	2.7.11.1; 3.6.5.-	Protein kinase superfamily, TKL Ser/Thr protein kinase family	Transferases
Q5SQI0	2.3.1.108	Acetyltransferase ATAT1 family	Transferases
Q5SY16	2.7.1.78	Clp1 family, NOL9/GRC3 subfamily	Transferases
Q5T0T0	2.3.2.27		Transferases
Q5T197	2.3.2.27		Transferases
Q5T280	2.1.1.-	Class IV-like SAM-binding methyltransferase superfamily	Transferases
Q5T2R2	2.5.1.91	FPP/GGPP synthase family	Transferases
Q5T440	2.1.-.-	GcvT family, CAF17 subfamily	Transferases
Q5T447	2.3.2.26		Transferases
Q5T4D3	2.4.1.109	TMTC family	Transferases
Q5T4S7	2.3.2.27	UBR4 family	Transferases
Q5T8I9	2.1.1.386	Methyltransferase superfamily, HEN1 family	Transferases
Q5T9C9	2.7.1.68		Transferases
Q5TA31	2.3.2.27		Transferases
Q5TAX3	2.7.7.52	DNA polymerase type-B-like family	Transferases
Q5TC82	2.3.2.27		Transferases
Q5TCS8	2.7.4.4; 2.7.4.6	Adenylate kinase family	Transferases
Q5TCX8	2.7.11.25	Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily	Transferases
Q5TCY1	2.7.11.1	Protein kinase superfamily, CK1 Ser/Thr protein kinase family	Transferases
Q5TEU4	1.-.-.-; 2.1.1.-	Methyltransferase superfamily	Transferases
Q5U5Q3	2.3.2.27		Transferases
Q5VST9	2.7.11.1	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	Transferases
Q5VT25	2.7.11.1	Protein kinase superfamily, AGC Ser/Thr protein kinase family, DMPK subfamily	Transferases
Q5VTB9	2.3.2.27		Transferases
Q5VTR2	2.3.2.27	BRE1 family	Transferases
Q5VTY9	2.3.1.-	Membrane-bound acyltransferase family, HHAT subfamily	Transferases
Q5VV42	2.8.4.5	Methylthiotransferase family, CDKAL1 subfamily	Transferases
Q5VVX9	2.3.2.23	Ubiquitin-conjugating enzyme family	Transferases
Q5VVY1	2.1.1.299	Methyltransferase superfamily, NTM1 family	Transferases
Q5VWP2	2.7.7.19	TENT family	Transferases
Q5VYS8	2.7.7.52	DNA polymerase type-B-like family	Transferases
Q5VZV1	2.1.1.-	Methyltransferase superfamily, METTL21 family	Transferases
Q5W0B1	2.3.2.27		Transferases
Q5W0Z9	2.3.1.-; 2.3.1.225	DHHC palmitoyltransferase family	Transferases
Q5XG87	2.7.7.-; 2.7.7.19	DNA polymerase type-B-like family	Transferases
Q5XPI4	2.3.2.27		Transferases
Q63HN8	2.3.2.-; 2.3.2.27; 3.6.4.-	AAA ATPase family	Transferases
Q63ZY6	2.1.1.-	Class I-like SAM-binding methyltransferase superfamily, RsmB/NOP family	Transferases
Q643R3	2.3.1.121; 2.3.1.23; 2.3.1.67; 2.3.1.n6; 2.3.1.n7	1-acyl-sn-glycerol-3-phosphate acyltransferase family	Transferases
Q66K89	2.3.2.27		Transferases
Q68CP4	2.3.1.78		Transferases
Q68DV7	2.3.2.27	ZNRF3 family	Transferases
Q6A1A2	2.7.11.1	Protein kinase superfamily, AGC Ser/Thr protein kinase family, PDPK1 subfamily	Transferases
Q6AZZ1	2.3.2.27	TRIM/RBCC family	Transferases
Q6DT37	2.7.11.1	Protein kinase superfamily, AGC Ser/Thr protein kinase family, DMPK subfamily	Transferases
Q6E213	2.3.1.20; 2.3.1.75; 2.3.1.76	Diacylglycerol acyltransferase family	Transferases
Q6GMV2	2.1.1.-; 2.1.1.359; 2.1.1.372	Class V-like SAM-binding methyltransferase superfamily	Transferases
Q6IB77	2.3.1.13; 2.3.1.71	Glycine N-acyltransferase family	Transferases
Q6IMI6	2.8.2.1; 2.8.2.2	Sulfotransferase 1 family	Transferases
Q6IN84	2.1.1.-	Class IV-like SAM-binding methyltransferase superfamily, RNA methyltransferase TrmH family	Transferases
Q6IQ55	2.7.11.1	Protein kinase superfamily, CK1 Ser/Thr protein kinase family	Transferases
Q6IS24	2.4.1.41	Glycosyltransferase 2 family, GalNAc-T subfamily	Transferases
Q6J9G0	2.7.10.2	Protein kinase superfamily, Tyr protein kinase family	Transferases
Q6L9W6	2.4.1.244	Chondroitin N-acetylgalactosaminyltransferase family	Transferases
Q6NUI2	2.3.1.15; 2.3.1.51	GPAT/DAPAT family	Transferases
Q6NUT2	2.4.1.-	Dpy-19 family	Transferases
Q6P0Q8	2.7.11.1	Protein kinase superfamily, AGC Ser/Thr protein kinase family	Transferases
Q6P1A2	2.3.1.-; 2.3.1.23; 2.3.1.n6; 2.3.1.n7	Membrane-bound acyltransferase family	Transferases
Q6P1Q9	2.1.1.-	Methyltransferase superfamily, METL family	Transferases
Q6P2M8	2.7.11.17	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily	Transferases
Q6P2P2	2.1.1.320	Class I-like SAM-binding methyltransferase superfamily, Protein arginine N-methyltransferase family	Transferases
Q6P3R8	2.7.11.1	Protein kinase superfamily, NEK Ser/Thr protein kinase family, NIMA subfamily	Transferases
Q6P4F1	2.4.1.-	Glycosyltransferase 10 family	Transferases
Q6P4H8	2.1.1.-	ANT/ATPSC lysine N-methyltransferase family	Transferases
Q6P531	2.3.2.2; 3.4.19.13	Gamma-glutamyltransferase family	Transferases
Q6P5Z2	2.7.11.13	Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily	Transferases
Q6P9A2	2.4.1.41	Glycosyltransferase 2 family, GalNAc-T subfamily	Transferases
Q6P9F5	2.3.2.27	TRIM/RBCC family	Transferases
Q6PCD5	2.3.2.27		Transferases
Q6PCE3	2.7.1.106	Phosphohexose mutase family	Transferases
Q6PF06	2.1.1.221	Class IV-like SAM-binding methyltransferase superfamily, TRM10 family	Transferases
Q6PFW1	2.7.4.24	Histidine acid phosphatase family, VIP1 subfamily	Transferases
Q6PHR2	2.7.11.1	Protein kinase superfamily, Ser/Thr protein kinase family, APG1/unc-51/ULK1 subfamily	Transferases
Q6PIY7	2.7.7.19	DNA polymerase type-B-like family, GLD2 subfamily	Transferases
Q6PJ69	2.3.2.27	TRIM/RBCC family	Transferases
Q6Q0C0	2.3.2.-; 2.3.2.27	WD repeat TRAF7 family	Transferases
Q6SA08	2.7.11.1	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	Transferases
Q6UW63	2.4.1.-; 2.4.2.-	KDELC family	Transferases
Q6UWE0	2.3.2.27		Transferases
Q6UWP7	2.3.1.-; 2.3.1.51	1-acyl-sn-glycerol-3-phosphate acyltransferase family	Transferases
Q6UX53	2.1.1.9	Methyltransferase superfamily	Transferases
Q6UX98	2.3.1.225	DHHC palmitoyltransferase family	Transferases
Q6VAB6	2.7.11.1	Protein kinase superfamily, TKL Ser/Thr protein kinase family	Transferases
Q6VVB1	2.3.2.27		Transferases
Q6XUX3	2.7.12.1	Protein kinase superfamily, Ser/Thr protein kinase family	Transferases
Q6Y288	2.4.1.-	Glycosyltransferase 31 family	Transferases
Q6YP21	2.6.1.63; 2.6.1.7; 4.4.1.13	Class-I pyridoxal-phosphate-dependent aminotransferase family	Transferases
Q6ZMB0	2.4.1.147	Glycosyltransferase 31 family	Transferases
Q6ZMG9	2.3.1.291		Transferases
Q6ZMQ8	2.7.11.1	Protein kinase superfamily, Tyr protein kinase family	Transferases
Q6ZMU5	2.3.2.27	TRIM/RBCC family	Transferases
Q6ZMZ0	2.3.2.31	RBR family, RNF19 subfamily	Transferases
Q6ZN16	2.7.11.25	Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily	Transferases
Q6ZNA4	2.3.2.27	Arkadia family	Transferases
Q6ZNC8	2.3.1.23; 2.3.1.n6; 2.3.1.n7	Membrane-bound acyltransferase family	Transferases
Q6ZPD8	2.3.1.-	Diacylglycerol acyltransferase family	Transferases
Q6ZPD9	2.4.1.-	Dpy-19 family	Transferases
Q6ZSG1	2.3.2.27	Arkadia family	Transferases
Q6ZT12	2.3.2.27	E3 ubiquitin-protein ligase UBR1-like family	Transferases
Q6ZWH5	2.7.11.1	Protein kinase superfamily, NEK Ser/Thr protein kinase family, NIMA subfamily	Transferases
Q6ZWT7	2.3.1.-; 2.3.1.23; 2.3.1.51; 2.3.1.n7	Membrane-bound acyltransferase family	Transferases
Q6ZXV5	2.4.1.109	TMTC family	Transferases
Q70JA7	2.4.1.175; 2.4.1.226	Chondroitin N-acetylgalactosaminyltransferase family	Transferases
Q712K3	2.3.2.23	Ubiquitin-conjugating enzyme family	Transferases
Q75N03	2.3.2.27	Hakai family	Transferases
Q76MJ5	2.7.11.1; 3.1.26.-	Protein kinase superfamily, Ser/Thr protein kinase family	Transferases
Q76N89	2.3.2.26		Transferases
Q7KZI7	2.7.11.1; 2.7.11.26	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily	Transferases
Q7L0Y3	2.1.1.-; 2.1.1.218; 2.1.1.221	Class IV-like SAM-binding methyltransferase superfamily, TRM10 family	Transferases
Q7L1S5	2.8.2.-	Sulfotransferase 2 family	Transferases
Q7L2J0	2.1.1.-	Methyltransferase superfamily	Transferases
Q7L592	2.1.1.320	NDUFAF7 family	Transferases
Q7L5N7	2.3.1.23; 2.3.1.25; 2.3.1.51; 2.3.1.67	1-acyl-sn-glycerol-3-phosphate acyltransferase family	Transferases
Q7L5Y9	2.3.2.27		Transferases
Q7L622	2.3.2.26		Transferases
Q7L7X3	2.7.11.1	Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily	Transferases
Q7LFX5	2.8.2.33	Sulfotransferase 1 family	Transferases
Q7LGA3	2.8.2.-	Sulfotransferase 3 family	Transferases
Q7LGC8	2.8.2.17; 2.8.2.21	Sulfotransferase 1 family, Gal/GlcNAc/GalNAc subfamily	Transferases
Q7Z2Y5	2.7.11.1	Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily	Transferases
Q7Z3E1	2.4.2.-	ARTD/PARP family	Transferases
Q7Z3V4	2.3.2.26		Transferases
Q7Z419	2.3.2.31	RBR family, RNF144 subfamily	Transferases
Q7Z4H8	2.4.1.-; 2.4.2.-	KDELC family	Transferases
Q7Z569	2.3.2.27		Transferases
Q7Z5Q5	2.7.7.7	DNA polymerase type-A family	Transferases
Q7Z5W3	2.1.1.-	Methyltransferase superfamily	Transferases
Q7Z624	2.1.1.60	Class I-like SAM-binding methyltransferase superfamily, CLNMT methyltransferase family	Transferases
Q7Z695	2.7.11.-	Protein kinase superfamily, ADCK protein kinase family	Transferases
Q7Z6E9	2.3.2.27		Transferases
Q7Z6J0	2.3.2.27	SH3RF family	Transferases
Q7Z6J8	2.3.2.26		Transferases
Q7Z6Z7	2.3.2.26	UPL family, TOM1/PTR1 subfamily	Transferases
Q7Z7E8	2.3.2.23	Ubiquitin-conjugating enzyme family	Transferases
Q7Z7M8	2.4.1.-	Glycosyltransferase 31 family	Transferases
Q7Z7M9	2.4.1.41	Glycosyltransferase 2 family, GalNAc-T subfamily	Transferases
Q86SF2	2.4.1.41	Glycosyltransferase 2 family, GalNAc-T subfamily	Transferases
Q86SG6	2.7.11.1	Protein kinase superfamily, NEK Ser/Thr protein kinase family, NIMA subfamily	Transferases
Q86SQ9	2.5.1.87	UPP synthase family	Transferases
Q86SR1	2.4.1.41	Glycosyltransferase 2 family, GalNAc-T subfamily	Transferases
Q86T96	2.3.2.27		Transferases
Q86TB3	2.7.11.1	Protein kinase superfamily, Alpha-type protein kinase family, ALPK subfamily	Transferases
Q86TM6	2.3.2.27	HRD1 family	Transferases
Q86TU7	2.1.1.85	Class V-like SAM-binding methyltransferase superfamily, SETD3 actin-histidine methyltransferase family	Transferases
Q86TW2	2.7.-.-	Protein kinase superfamily, ADCK protein kinase family	Transferases
Q86U44	2.1.1.348	MT-A70-like family	Transferases
Q86U90	2.7.7.87	SUA5 family	Transferases
Q86UD3	2.3.2.27		Transferases
Q86UE8	2.7.11.1	Protein kinase superfamily, Ser/Thr protein kinase family	Transferases
Q86UK7	2.3.2.27	ZNF598/HEL2 family	Transferases
Q86UL3	2.3.1.15	1-acyl-sn-glycerol-3-phosphate acyltransferase family	Transferases
Q86UW9	2.3.2.27	Deltex family	Transferases
Q86UX6	2.7.11.1	Protein kinase superfamily, Ser/Thr protein kinase family	Transferases
Q86UY6	2.3.1.257	Acetyltransferase family, NAA40 subfamily	Transferases
Q86V86	2.7.11.1	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, PIM subfamily	Transferases
Q86VD9	2.4.1.-	Glycosyltransferase 22 family, PIGZ subfamily	Transferases
Q86VF5	2.3.1.20; 2.3.1.22	Diacylglycerol acyltransferase family	Transferases
Q86VZ5	2.7.8.27	Sphingomyelin synthase family	Transferases
Q86W50	2.1.1.346; 2.1.1.348	Methyltransferase superfamily, METTL16/RlmF family	Transferases
Q86WT6	2.3.2.27	TRIM/RBCC family	Transferases
Q86X52	2.4.1.175; 2.4.1.226	Chondroitin N-acetylgalactosaminyltransferase family	Transferases
Q86X55	2.1.1.319	Class I-like SAM-binding methyltransferase superfamily, Protein arginine N-methyltransferase family	Transferases
Q86XA0	2.1.1.319	Methyltransferase superfamily, METTL23 family	Transferases
Q86XP1	2.7.1.107	Eukaryotic diacylglycerol kinase family	Transferases
Q86XS8	2.3.2.27		Transferases
Q86XT4	2.3.2.27	TRIM/RBCC family	Transferases
Q86Y01	2.3.2.27	Deltex family	Transferases
Q86Y07	2.7.11.1	Protein kinase superfamily, CK1 Ser/Thr protein kinase family, VRK subfamily	Transferases
Q86Y13	2.3.2.27		Transferases
Q86Y38	2.4.2.26	Glycosyltransferase 14 family, XylT subfamily	Transferases
Q86Y97	2.1.1.361; 2.1.1.362	Class V-like SAM-binding methyltransferase superfamily, Histone-lysine methyltransferase family, Suvar4-20 subfamily	Transferases
Q86YH6	2.5.1.91	FPP/GGPP synthase family	Transferases
Q86YJ5	2.3.2.27		Transferases
Q86YT6	2.3.2.27		Transferases
Q86YV6	2.7.11.1	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	Transferases
Q86Z02	2.7.11.1	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, HIPK subfamily	Transferases
Q8IU81	2.3.2.27	IRF2BP family	Transferases
Q8IU85	2.7.11.17	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily	Transferases
Q8IU89	2.3.1.24; 2.3.1.297; 2.3.1.298		Transferases
Q8IUC8	2.4.1.41	Glycosyltransferase 2 family, GalNAc-T subfamily	Transferases
Q8IUD6	2.3.2.27		Transferases
Q8IUH4	2.3.1.225	DHHC palmitoyltransferase family, AKR/ZDHHC17 subfamily	Transferases
Q8IUH5	2.3.1.-; 2.3.1.225	DHHC palmitoyltransferase family, AKR/ZDHHC17 subfamily	Transferases
Q8IUQ4	2.3.2.27	SINA (Seven in absentia) family	Transferases
Q8IUR5	2.4.1.109	TMTC family	Transferases
Q8IV20	2.4.2.1; 2.4.2.28; 3.5.4.4	Purine nucleoside phosphorylase YfiH/LACC1 family	Transferases
Q8IV63	2.7.11.22	Protein kinase superfamily, CK1 Ser/Thr protein kinase family, VRK subfamily	Transferases
Q8IVH8	2.7.11.1	Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily	Transferases
Q8IVQ6	2.3.1.225	DHHC palmitoyltransferase family	Transferases
Q8IVS2	2.3.1.39	Type II malonyltransferase family	Transferases
Q8IVS8	2.7.1.31	Glycerate kinase type-2 family	Transferases
Q8IVT5	2.7.11.1	Protein kinase superfamily, TKL Ser/Thr protein kinase family	Transferases
Q8IVU3	2.3.2.26		Transferases
Q8IVW4	2.7.11.22	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily	Transferases
Q8IW41	2.7.11.1	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	Transferases
Q8IWQ3	2.7.11.1; 2.7.11.26	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily	Transferases
Q8IWR1	2.3.2.27	TRIM/RBCC family	Transferases
Q8IWU2	2.7.11.1	Protein kinase superfamily, Tyr protein kinase family	Transferases
Q8IWV7	2.3.2.27	E3 ubiquitin-protein ligase UBR1-like family	Transferases
Q8IWV8	2.3.2.27	E3 ubiquitin-protein ligase UBR1-like family	Transferases
Q8IXJ6	2.3.1.-; 2.3.1.286	Sirtuin family, Class I subfamily	Transferases
